att_id,att_name,att_contact,att_org,is_student
1,Michelle Craig,michelle.craig@gmail.com,org1,false
2,Jennifer Campbell,Jennifer.Campbell@gmail.com,org2,false
3,Sadia Sharmin,Sadia.Sharmin@gmail.com,org3,false
4,Khushi Patel,khushi.patel@gmail.com,org4,false
5,Alex Chen,alex.c@gmail.com,org5,false
6,Beep,beep@gmail.com,org6,false
7,Bop,bop@gmail.com,org7,false
8,Blip,blip@gmail.com,org7,false
9,Jonathan Calver,JC@ggmail.com,org8,false
10,Larry Yueli Zhang,LY@gmail.com,org9,false
11,Diane Horton,DH@gmail.com,org10,false
12,Daniel Zingaro,DH@gmail.com,org11,false
13,Danny Heap,DH@gmail.com,org12,false
